reportdate,pruid,prename,prfname,series_type,primary_series,first_additional_vaccine,second_additional_vaccine,primary_series_completed
"July 17, 2022",1,Canada,Canada,3,mRNA mixed series,Pfizer-BioNTech Comirnaty,All other series,4
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,All other series,16
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,Not reported,87958
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,656230
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Moderna Spikevax,Moderna Spikevax,101754
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Moderna Spikevax,Pfizer-BioNTech Comirnaty,59340
"July 17, 2022",1,Canada,Canada,3,mRNA mixed series,Moderna Spikevax,All other series,1
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Moderna Spikevax,All other series,38
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Moderna Spikevax,Not reported,79116
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Moderna Spikevax,Have not received a 2nd additional dose,894897
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,All other series,Moderna Spikevax,13
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,All other series,Pfizer-BioNTech Comirnaty,13
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,All other series,All other series,2
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,All other series,Not reported,17
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,All other series,Have not received a 2nd additional dose,143
"July 17, 2022",1,Canada,Canada,3,mRNA mixed series,All other series,Have not received a 2nd additional dose,39
"July 17, 2022",1,Canada,Canada,2,mRNA mixed series,Have not received an additional dose,Have not received a 2nd additional dose,804857
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,Moderna Spikevax,17833
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,31807
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,All other series,8
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,Not reported,49595
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,399707
"July 17, 2022",1,Canada,Canada,1,Moderna Spikevax,Moderna Spikevax,Moderna Spikevax,452090
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,Moderna Spikevax,Pfizer-BioNTech Comirnaty,46217
"July 17, 2022",1,Canada,Canada,3,Moderna Spikevax,Moderna Spikevax,All other series,1
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,Moderna Spikevax,All other series,64
"July 17, 2022",1,Canada,Canada,1,Moderna Spikevax,Moderna Spikevax,Not reported,310994
"July 17, 2022",1,Canada,Canada,1,Moderna Spikevax,Moderna Spikevax,Have not received a 2nd additional dose,1878875
"July 17, 2022",1,Canada,Canada,3,Moderna Spikevax,All other series,Moderna Spikevax,1
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,All other series,Moderna Spikevax,36
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,All other series,Pfizer-BioNTech Comirnaty,8
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,All other series,All other series,2
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,All other series,Not reported,29
"July 17, 2022",1,Canada,Canada,3,Moderna Spikevax,All other series,Have not received a 2nd additional dose,16
"July 17, 2022",1,Canada,Canada,2,Moderna Spikevax,All other series,Have not received a 2nd additional dose,284
"July 17, 2022",1,Canada,Canada,1,Moderna Spikevax,Have not received an additional dose,Have not received a 2nd additional dose,2217386
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,Moderna Spikevax,14738
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,89149
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,All other series,51
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,Not reported,186772
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,367991
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,Moderna Spikevax,72325
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,Pfizer-BioNTech Comirnaty,24634
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,All other series,31
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,Not reported,47578
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,Have not received a 2nd additional dose,659218
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,All other series,Moderna Spikevax,21
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,All other series,Pfizer-BioNTech Comirnaty,31
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,All other series,All other series,5
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,All other series,Not reported,43
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,All other series,Have not received a 2nd additional dose,247
"July 17, 2022",1,Canada,Canada,3,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,All other series,Have not received a 2nd additional dose,3
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Have not received an additional dose,Have not received a 2nd additional dose,212174
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,Moderna Spikevax,14714
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,99727
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,All other series,19
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,Not reported,20020
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,207698
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,Moderna Spikevax,32924
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,Pfizer-BioNTech Comirnaty,8020
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,All other series,19
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,Not reported,7933
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,Have not received a 2nd additional dose,154097
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,All other series,Moderna Spikevax,65
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,All other series,Pfizer-BioNTech Comirnaty,285
"July 17, 2022",1,Canada,Canada,1,AstraZeneca Vaxzevria/COVISHIELD,All other series,All other series,9
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,All other series,All other series,10
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,All other series,Not reported,45
"July 17, 2022",1,Canada,Canada,1,AstraZeneca Vaxzevria/COVISHIELD,All other series,Not reported,547
"July 17, 2022",1,Canada,Canada,1,AstraZeneca Vaxzevria/COVISHIELD,All other series,Have not received a 2nd additional dose,1041
"July 17, 2022",1,Canada,Canada,2,AstraZeneca Vaxzevria/COVISHIELD,All other series,Have not received a 2nd additional dose,218
"July 17, 2022",1,Canada,Canada,3,AstraZeneca Vaxzevria/COVISHIELD,All other series,Have not received a 2nd additional dose,5
"July 17, 2022",1,Canada,Canada,1,AstraZeneca Vaxzevria/COVISHIELD,Have not received an additional dose,Have not received a 2nd additional dose,101753
"July 17, 2022",1,Canada,Canada,2,All other series,Pfizer-BioNTech Comirnaty,Moderna Spikevax,91
"July 17, 2022",1,Canada,Canada,3,All other series,Pfizer-BioNTech Comirnaty,Moderna Spikevax,140
"July 17, 2022",1,Canada,Canada,2,All other series,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,923
"July 17, 2022",1,Canada,Canada,3,All other series,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,216
"July 17, 2022",1,Canada,Canada,2,All other series,Pfizer-BioNTech Comirnaty,All other series,2
"July 17, 2022",1,Canada,Canada,3,All other series,Pfizer-BioNTech Comirnaty,All other series,1
"July 17, 2022",1,Canada,Canada,2,All other series,Pfizer-BioNTech Comirnaty,Not reported,26
"July 17, 2022",1,Canada,Canada,3,All other series,Pfizer-BioNTech Comirnaty,Not reported,885
"July 17, 2022",1,Canada,Canada,2,All other series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,19785
"July 17, 2022",1,Canada,Canada,3,All other series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,2900
"July 17, 2022",1,Canada,Canada,3,All other series,Moderna Spikevax,Moderna Spikevax,369
"July 17, 2022",1,Canada,Canada,2,All other series,Moderna Spikevax,Moderna Spikevax,360
"July 17, 2022",1,Canada,Canada,2,All other series,Moderna Spikevax,Pfizer-BioNTech Comirnaty,154
"July 17, 2022",1,Canada,Canada,3,All other series,Moderna Spikevax,Pfizer-BioNTech Comirnaty,72
"July 17, 2022",1,Canada,Canada,2,All other series,Moderna Spikevax,All other series,3
"July 17, 2022",1,Canada,Canada,3,All other series,Moderna Spikevax,Not reported,513
"July 17, 2022",1,Canada,Canada,2,All other series,Moderna Spikevax,Not reported,10
"July 17, 2022",1,Canada,Canada,2,All other series,Moderna Spikevax,Have not received a 2nd additional dose,7868
"July 17, 2022",1,Canada,Canada,3,All other series,Moderna Spikevax,Have not received a 2nd additional dose,2198
"July 17, 2022",1,Canada,Canada,2,All other series,All other series,Moderna Spikevax,90
"July 17, 2022",1,Canada,Canada,3,All other series,All other series,Moderna Spikevax,1
"July 17, 2022",1,Canada,Canada,3,All other series,All other series,Pfizer-BioNTech Comirnaty,2
"July 17, 2022",1,Canada,Canada,2,All other series,All other series,Pfizer-BioNTech Comirnaty,207
"July 17, 2022",1,Canada,Canada,1,All other series,All other series,All other series,126
"July 17, 2022",1,Canada,Canada,2,All other series,All other series,All other series,6492
"July 17, 2022",1,Canada,Canada,2,All other series,All other series,Not reported,11
"July 17, 2022",1,Canada,Canada,3,All other series,All other series,Not reported,4
"July 17, 2022",1,Canada,Canada,1,All other series,All other series,Not reported,95
"July 17, 2022",1,Canada,Canada,1,All other series,All other series,Have not received a 2nd additional dose,1546
"July 17, 2022",1,Canada,Canada,3,All other series,All other series,Have not received a 2nd additional dose,33
"July 17, 2022",1,Canada,Canada,2,All other series,All other series,Have not received a 2nd additional dose,22854
"July 17, 2022",1,Canada,Canada,1,All other series,Have not received an additional dose,Have not received a 2nd additional dose,51827
"July 17, 2022",1,Canada,Canada,2,All other series,Have not received an additional dose,Have not received a 2nd additional dose,48951
"July 17, 2022",1,Canada,Canada,3,All other series,Have not received an additional dose,Have not received a 2nd additional dose,5979
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Moderna Spikevax,4140
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,8251
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,All other series,5
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,59266
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Moderna Spikevax,10953
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Pfizer-BioNTech Comirnaty,2259
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,All other series,3
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Have not received a 2nd additional dose,63811
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,All other series,Moderna Spikevax,1
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,All other series,Pfizer-BioNTech Comirnaty,1
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Pfizer-BioNTech Comirnaty,All other series,Have not received a 2nd additional dose,15
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,Pfizer-BioNTech Comirnaty,Have not received an additional dose,Have not received a 2nd additional dose,88427
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,Moderna Spikevax,563
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,635
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,All other series,1
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,13276
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Moderna Spikevax,Moderna Spikevax,5621
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Moderna Spikevax,Pfizer-BioNTech Comirnaty,946
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Moderna Spikevax,All other series,2
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Moderna Spikevax,Have not received a 2nd additional dose,52848
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,All other series,Have not received a 2nd additional dose,5
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,mRNA mixed series,Have not received an additional dose,Have not received a 2nd additional dose,21951
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,Moderna Spikevax,103
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,56
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Moderna Spikevax,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,3815
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,Moderna Spikevax,Moderna Spikevax,Moderna Spikevax,4402
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Moderna Spikevax,Moderna Spikevax,Pfizer-BioNTech Comirnaty,273
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Moderna Spikevax,Moderna Spikevax,All other series,5
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,Moderna Spikevax,Moderna Spikevax,Have not received a 2nd additional dose,38455
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,Moderna Spikevax,All other series,Have not received a 2nd additional dose,4
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,Moderna Spikevax,Have not received an additional dose,Have not received a 2nd additional dose,42349
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,Moderna Spikevax,98
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,130
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,6822
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,Moderna Spikevax,253
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,Pfizer-BioNTech Comirnaty,19
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Moderna Spikevax,Have not received a 2nd additional dose,17389
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,All other series,Have not received a 2nd additional dose,3
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD-mRNA mixed series,Have not received an additional dose,Have not received a 2nd additional dose,2265
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,Moderna Spikevax,1
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,2
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,180
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,Moderna Spikevax,3
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,Pfizer-BioNTech Comirnaty,2
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD,Moderna Spikevax,Have not received a 2nd additional dose,331
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,AstraZeneca Vaxzevria/COVISHIELD,All other series,Have not received a 2nd additional dose,1
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,AstraZeneca Vaxzevria/COVISHIELD,Have not received an additional dose,Have not received a 2nd additional dose,271
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,Pfizer-BioNTech Comirnaty,Moderna Spikevax,138
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,207
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,All other series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,3
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,2140
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,Moderna Spikevax,Moderna Spikevax,364
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,Moderna Spikevax,Pfizer-BioNTech Comirnaty,71
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,Moderna Spikevax,Have not received a 2nd additional dose,2035
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,All other series,Moderna Spikevax,Have not received a 2nd additional dose,4
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,All other series,Have not received a 2nd additional dose,2
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1,All other series,Have not received an additional dose,Have not received a 2nd additional dose,149
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3,All other series,Have not received an additional dose,Have not received a 2nd additional dose,2087
"July 17, 2022",10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2,All other series,Have not received an additional dose,Have not received a 2nd additional dose,88
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,9514
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,33223
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,Pfizer-BioNTech Comirnaty,Have not received an additional dose,Have not received a 2nd additional dose,37416
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,Moderna Spikevax,Moderna Spikevax,Moderna Spikevax,2150
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,Moderna Spikevax,Moderna Spikevax,Have not received a 2nd additional dose,9392
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,Moderna Spikevax,Have not received an additional dose,Have not received a 2nd additional dose,14142
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,AstraZeneca Vaxzevria/COVISHIELD,Have not received an additional dose,Have not received a 2nd additional dose,120
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,2,All other series,All other series,All other series,6483
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,2,All other series,All other series,Have not received a 2nd additional dose,22611
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,2,All other series,Have not received an additional dose,Have not received a 2nd additional dose,2694
"July 17, 2022",11,Prince Edward Island,Île-du-Prince-Édouard,1,All other series,Have not received an additional dose,Have not received a 2nd additional dose,133
"July 17, 2022",12,Nova Scotia,Nouvelle-Écosse,2,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Moderna Spikevax,2910
"July 17, 2022",12,Nova Scotia,Nouvelle-Écosse,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,42921
"July 17, 2022",12,Nova Scotia,Nouvelle-Écosse,2,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,All other series,16
"July 17, 2022",12,Nova Scotia,Nouvelle-Écosse,3,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,All other series,18
"July 17, 2022",12,Nova Scotia,Nouvelle-Écosse,1,Pfizer-BioNTech Comirnaty,Pfizer-BioNTech Comirnaty,Have not received a 2nd additional dose,169498
"July 17, 2022",12,Nova Scotia,Nouvelle-Écosse,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Moderna Spikevax,2117
"July 17, 2022",12,Nova Scotia,Nouvelle-Écosse,2,Pfizer-BioNTech Comirnaty,Moderna Spikevax,Pfizer-BioNTech Comirnaty,5441
